Timestamp	Accel X	Accel Y	Accel Z	Gyro X	Gyro Y	Gyro Z	Start Flag							
157	-0.066650391	0.968139648	0.143066406	-1.281738162	-0.793456972	-0.549316406	5							
158	-0.088745117	0.96887207	0.134399414	0.24414061	-4.638671875	-7.873534679	5							
159	-0.027832031	0.947143555	0.161132813	-5.493163586	-19.59228516	-31.12792778	5							
160	0.065307617	0.959838867	0.125	-6.469726086	-18.37158203	-69.15283203	5							
161	-0.071655273	1.000244141	0.029907227	17.76123047	-32.71484375	-65.55175781	5							
162	0.434448242	0.974365234	0.111206055	-46.93603134	-28.50341606	-29.29687309	5							
163	0.389160156	0.933837891	0.15246582	-15.80810452	-27.22167778	-13.91601467	5							
164	0.558105469	0.842163086	0.221069336	14.95361233	27.34374809	-17.82226563	5							
165	0.330932617	0.969238281	-0.063720703	-2.44140625	13.97704983	-0.24414061	5							
166	0.375732422	0.916137695	0.023193359	3.906249762	-15.80810452	5.798339367	5							
167	0.38659668	0.89855957	0.051147461	5.554198742	-9.094238281	10.19287014	5							
168	0.37097168	0.949829102	-0.022949219	-11.16943264	15.31982327	31.92138481	5							
169	0.421264648	0.983886719	0.021484375	-5.432128429	-2.807616949	63.23241806	5							
170	0.13293457	0.993530273	-0.029907227	31.00585747	30.27343559	100.646965	5							
171	0.039672852	0.980957031	0.070068359	29.47997856	17.88330078	46.38671494	5							
172	-0.282714844	0.940185547	0.109619141	11.41357327	-0.671386659	-1.831054568	5							
173	-0.206298828	0.936523438	0.127929688	14.46533108	8.483886719	9.460449219	5							
174	-0.116210938	0.942504883	0.184570313	-1.220703125	-0.97656244	-5.371093273	5							
175	-0.161132813	0.973266602	0.120483398	2.868652105	-3.906249762	1.037597656	5							
176	-0.143798828	0.942016602	0.174438477	-5.615233898	-1.464843631	-2.746581793	5							
177	-0.103759766	0.977416992	0.133666992	-1.892089725	-0.793456972	-4.943847656	6							
178	-0.102539063	0.946655273	0.172607422	-1.037597656	1.6479491	5.981444836	6							
179	-0.08996582	0.976196289	0.14074707	0.122070305	2.136230469	-2.319335938	6							
180	-0.084716797	0.968383789	0.147338867	0.24414061	-0.97656244	-0.366210908	6							
181	-0.109130859	0.961914063	0.150268555	-3.234863043	-0.671386659	0.97656244	6							
182	-0.095825195	0.974853516	0.135864258	-0.061035153	0.549316406	-0.24414061	6							
183	-0.088500977	0.953857422	0.163085938	-1.281738162	-0.915527284	-3.11279273	6							
184	-0.096923828	0.975952148	0.131469727	-1.098632813	-1.403808475	0.549316406	6							
185	-0.08972168	0.95324707	0.159301758	1.586913943	1.220703125	-0.97656244	6							
186	-0.100830078	0.965209961	0.140258789	-2.197265625	0.427246064	-1.281738162	6							
187	-0.089477539	0.961181641	0.147094727	-0.97656244	-0.854492128	-0.48828122	6							
188	-0.06628418	0.954711914	0.137451172	-3.295898199	-32.83691406	-8.7890625	6							
189	0.106445313	0.990112305	0.127807617	-7.019042492	-27.52685356	-69.45800781	6							
190	0.160766602	0.891357422	0.156738281	3.11279273	-4.8828125	-58.16650009	6							
191	0.020996094	0.992797852	-0.050170898	0.915527284	-10.49804592	-52.12401962	6							
192	0.172363281	0.954833984	0.133544922	-20.0805645	-27.70995903	-14.46533108	6							
193	0.47644043	0.922241211	0.270385742	-33.99658203	-23.07128716	-15.80810452	6							
194	0.470092773	0.884399414	0.085205078	-3.784179449	9.765625	0.915527284	6							
195	0.461669922	0.906738281	0.076049805	13.85497952	2.62451148	3.784179449	6							
196	0.36328125	0.93371582	0.044677734	-8.361816406	-1.098632813	-1.525878787	6							
197	0.460693359	0.889648438	0.10144043	6.347655773	11.47460842	21.17919731	6							
198	0.409667969	0.903442383	0.08984375	-8.239746094	18.00537109	29.11376762	6							
199	0.382202148	0.930175781	0.049682617	3.967284918	39.36767578	59.2651329	6							
200	-0.130615234	1.020385742	-0.055297852	10.86425686	-14.52636623	114.8071213	6							
201	0.059448242	0.981323242	0.090332031	30.33447075	14.09912014	35.46142578	6							
202	-0.247802734	0.894897461	0.194946289	5.432128429	2.197265625	18.31054688	6							
203	-0.127807617	0.963623047	0.120849609	7.873534679	-4.272460938	-3.11279273	6							
204	-0.161132813	0.928588867	0.176635742	4.089355469	2.44140625	5.798339367	6							
205	-0.119262695	0.978149414	0.138061523	1.892089725	-1.464843631	-3.051757574	6							
206	-0.141601563	0.957641602	0.150146484	5.432128429	-1.586913943	-3.051757574	7							
207	-0.093505859	0.967529297	0.16394043	2.807616949	4.028320313	0.366210908	7							
208	-0.107299805	0.960205078	0.169555664	-1.403808475	-1.708984256	1.281738162	7							
209	-0.090576172	0.969116211	0.162109375	1.342773318	2.136230469	0.97656244	7							
210	-0.122436523	0.943725586	0.188110352	2.685546637	1.770019412	-4.089355469	7							
211	-0.072998047	0.977661133	0.164306641	-0.427246064	-1.831054568	0.549316406	7							
212	-0.116943359	0.956054688	0.170654297	-0.427246064	1.892089725	-0.24414061	7							
213	-0.096923828	0.955444336	0.180297852	0.854492128	-0.732421815	-2.990722418	7							
214	-0.104492188	0.958862305	0.173583984	-0.854492128	-0.427246064	-1.708984256	7							
215	-0.097290039	0.96484375	0.165527344	0.48828122	-0.854492128	-0.24414061	7							
216	-0.07421875	0.955200195	0.186035156	-0.793456972	-0.671386659	-0.854492128	7							
217	-0.060546875	0.94921875	0.182983398	-3.295898199	-11.59667873	-14.03808498	7							
218	-0.111816406	0.912719727	0.185668945	-3.540038824	-27.58788872	-59.08202744	7							
219	-0.057617188	0.998535156	0.071899414	4.028320313	-62.07275009	-57.86132431	7							
220	0.463500977	1.108398438	0.185302734	-4.39453125	-40.40526962	-48.27880478	7							
221	0.770019531	0.746337891	0.529541016	-19.22607422	35.94970703	-42.90771103	7							
222	0.171630859	0.924072266	0.010253906	-31.37206841	3.60107398	-18.49365234	7							
223	0.302612305	0.903320313	0.154418945	-22.94921684	-16.29638672	-5.126952648	7							
224	0.430664063	0.866943359	0.142333984	-6.103515148	14.46533108	-1.037597656	7							
225	0.415771484	0.859741211	0.129150391	2.136230469	11.84081936	9.826660156	7							
226	0.466064453	0.898803711	0.052490234	-0.549316406	12.45117092	12.26806545	7							
227	0.433959961	0.917724609	0.047119141	-9.765625	16.41845703	32.95898438	7							
228	0.234741211	0.967285156	0.035766602	-20.93505669	-11.59667873	69.27490234	7							
229	0.043823242	0.990722656	0.01953125	20.56884575	17.39501953	91.00341034	7							
230	-0.072021484	0.941894531	0.105224609	22.88818169	-15.86913967	82.88573456	7							
231	0.001708984	1.052368164	-0.020019531	11.53564358	2.807616949	-27.77099419	7							
232	-0.058959961	0.943237305	0.184204102	9.033203125	6.347655773	1.586913943	7							
233	-0.048095703	0.963745117	0.168457031	2.197265625	0.183105454	8.239746094	7							
234	-0.187744141	0.973876953	0.114746094	3.662109137	2.929687262	0.061035153	7							
235	-0.08984375	0.94921875	0.182617188	1.831054568	2.685546637	-5.615233898	7							
236	-0.115112305	0.9375	0.188232422	0.793456972	3.723144293	-0.671386659	8							
237	-0.088134766	0.971923828	0.15637207	-1.464843631	-0.061035153	-2.990722418	8							
238	-0.129882813	0.946166992	0.177368164	-1.525878787	1.220703125	2.929687262	8							
239	-0.117675781	0.967285156	0.155029297	-2.136230469	-0.915527284	-3.234863043	8							
240	-0.109008789	0.965942383	0.159790039	0.305175781	0.183105454	-0.183105454	8							
241	-0.114990234	0.962524414	0.158203125	-6.835937023	-1.464843631	0.793456972	8							
242	-0.115234375	0.957641602	0.157226563	-1.342773318	-0.061035153	0.671386659	8							
243	-0.079345703	0.955932617	0.171875	1.464843631	-0.793456972	-1.464843631	8							
244	-0.090332031	0.958129883	0.165039063	-1.464843631	0.183105454	0.366210908	8							
245	-0.117675781	0.959960938	0.157226563	0.610351563	1.708984256	-1.098632813	8							
246	-0.096801758	0.959960938	0.159301758	-0.549316406	-0.427246064	0.305175781	8							
247	-0.081665039	0.967407227	0.149658203	-2.62451148	-4.577636719	-6.591796398	8							
248	-0.143310547	0.946533203	0.137573242	-9.826660156	-27.46581841	-41.07665634	8							
249	0.14465332	1.039916992	0.06262207	-16.11328125	-56.3354454	-54.26025009	8							
250	0.431518555	0.936401367	0.211425781	7.324218273	2.746581793	-67.81005859	8							
251	0.303710938	0.83996582	0.232299805	0.671386659	18.85986328	-50.53710556	8							
252	0.195068359	1.004150391	-0.120361328	-14.64843655	17.08984375	-20.50781059	8							
253	0.301025391	0.919189453	0.0703125	-22.39990044	-8.605957031	-8.972167969	8							
254	0.443115234	0.888549805	0.026855469	12.45117092	18.61572266	2.075195313	8							
255	0.349975586	0.925292969	0.022949219	-0.610351563	-7.629394054	7.629394054	8							
256	0.339477539	0.938476563	0.004272461	-8.422851563	3.540038824	8.483886719	8							
257	0.287109375	0.946166992	-0.021240234	-2.868652105	23.80370903	28.19824028	8							
258	0.305908203	0.965576172	0.03894043	-10.31494045	7.995604992	56.94579697	8							
259	0.089233398	0.960571289	0.04309082	20.87402153	40.7104454	82.70262909	8							
260	0.07800293	1.000610352	0.050537109	8.605957031	-7.934569836	71.10595703	8							
261	-0.204223633	0.973144531	0.005004883	16.78466797	11.29150295	10.00976563	8							
262	-0.233886719	0.952514648	0.080688477	9.399414063	2.502441406	18.67675781	8							
263	-0.138061523	0.986694336	0.060546875	5.371093273	4.516601563	3.417968512	8							
264	-0.198974609	0.963745117	0.109985352	18.67675781	15.93017483	1.403808475	8							
265	-0.213378906	0.92590332	0.156860352	23.68163872	1.220703125	-26.67236137	9							
266	-0.10925293	0.964477539	0.19152832	19.28710938	7.690429211	-4.39453125	9							
267	-0.150390625	0.927246094	0.224243164	7.873534679	-1.770019412	-18.73779297	9							
